customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-TOKHU,Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),97.31,2820.25,0
6734-ZSWKK,Female,1,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,102.19,3473.11,1
9322-VUBXL,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),94.32,6787.02,0
7949-BUALZ,Male,1,Yes,No,11,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,58.49,638.4,1
7396-LYQJP,Male,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.28,552.46,1
1189-OSLWT,Female,1,No,No,18,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),83.5,1509.17,1
2528-CESGU,Male,0,No,No,41,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),86.2,3537.84,0
6393-DYNRZ,Female,0,No,No,25,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,62.0,1558.52,1
8513-UBTOG,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),98.6,1971.88,0
1775-OCNQD,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),94.97,2380.38,0
2585-HDBFV,Female,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),42.43,588.01,0
4843-VRZLB,Female,0,Yes,Yes,34,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,80.93,2742.93,1
5297-DNPOH,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),85.99,81.13,0
8629-WYHUP,Female,1,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,85.85,1466.15,1
8916-ROUXZ,Female,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),107.25,4192.09,1
5859-MIOMA,Female,1,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),110.53,888.39,1
9006-IXALH,Male,0,No,Yes,44,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),111.46,4902.47,1
6258-SQHCC,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,65.82,2375.87,1
6892-JGZIG,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.57,714.27,0
9392-HLBAP,Male,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,103.64,613.65,1
3454-XECLH,Male,0,No,No,47,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,55.89,2635.51,1
9154-CACEO,Male,0,Yes,Yes,1,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),88.76,81.56,1
4840-EZWNG,Male,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),94.75,1988.88,1
7938-IOOZJ,Female,0,Yes,No,36,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.5,2907.74,1
8035-MSGQT,Female,1,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),86.63,1295.59,0
6116-DEWGM,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),107.3,207.42,0
2678-KDMGS,Female,0,Yes,No,43,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,90.1,3878.26,1
4157-BJMYU,Male,0,Yes,No,57,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,111.09,6329.15,0
3693-LLTKZ,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),101.79,1935.11,0
6592-GAAYY,Male,0,Yes,No,37,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),86.38,3203.66,0
6864-CGFHI,Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),102.04,2238.19,1
5413-EASJL,Male,0,Yes,Yes,20,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),70.38,1407.7,1
1663-OVXIT,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),112.89,331.04,0
6232-QZTLG,Female,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,124.26,1616.15,1
8554-QEQXQ,Male,0,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,43.93,1193.1,1
1698-QBBVW,Male,1,No,Yes,14,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),98.85,1387.63,1
9164-AASBU,Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,36.22,826.87,0
2707-ZFWDW,Female,0,No,No,54,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),74.09,4004.19,0
1202-XQFXE,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,111.34,1112.65,0
3931-BFVKP,Male,0,No,No,42,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),67.72,2841.56,0
7287-AIFPC,Male,0,Yes,No,1,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,94.51,88.32,1
1659-DSZCS,Female,0,No,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.6,922.86,0
3911-GTIAH,Male,1,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,85.41,161.56,0
6759-GRHAK,Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,103.58,940.1,1
9155-YYRWJ,Female,0,No,No,17,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,83.09,1408.78,0
1262-PZPYT,Male,0,No,Yes,25,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.83,2153.74,0
